City	State	Pop_est	lat	long
Eugene	Oregon	163460	44.0567	-123.1162
Salem	Oregon	164549	44.9237	-123.0231
Hillsboro	Oregon	102347	45.5167	-122.9833
Santa Rosa	California	174972	38.4468	-122.7061
Portland	Oregon	632309	45.537	-122.65
Vancouver	Washington	172860	45.6372	-122.5965
Daly City	California	106562	37.7009	-122.465
Tacoma	Washington	207948	47.2522	-122.4598
Gresham	Oregon	110553	45.5023	-122.4416
San Francisco	California	864816	37.7751	-122.4193
Richmond	California	109708	37.953	-122.3594
Seattle	Washington	684451	47.6205	-122.3509
San Mateo	California	103536	37.5542	-122.3131
Berkeley	California	120972	37.8667	-122.2991
Vallejo	California	121253	38.1079	-122.2639
Oakland	California	419267	37.7699	-122.2256
Kent	Washington	126952	47.3853	-122.2169
Renton	Washington	100242	47.4867	-122.1953
Everett	Washington	108010	48.0033	-122.1742
Bellevue	Washington	139820	47.5978	-122.1565
Hayward	California	158289	37.6281	-122.1063
Fairfield	California	112970	38.2568	-122.0397
Sunnyvale	California	151754	37.3858	-122.0263
Concord	California	128667	37.9722	-122.0016
Santa Clara	California	126215	37.3646	-121.9679
Fremont	California	232206	37.4944	-121.9411
San Jose	California	1026908	37.2969	-121.8193
Antioch	California	110542	37.9775	-121.7976
Salinas	California	157380	36.6902	-121.6337
Sacramento	California	490712	38.5666	-121.4686
Elk Grove	California	166913	38.4144	-121.3849
Stockton	California	305658	37.9763	-121.3133
Roseville	California	130269	38.7657	-121.3032
Modesto	California	211266	37.6609	-120.9891
Santa Maria	California	105093	34.9332	-120.4438
Fresno	California	520052	36.7827	-119.7945
Reno	Nevada	241445	39.4745	-119.7765
Clovis	California	104180	36.4931	-119.4211
Visalia	California	130104	36.3272	-119.3234
Ventura	California	109708	34.2681	-119.255
Oxnard	California	207254	34.2023	-119.2046
Bakersfield	California	373640	35.3212	-119.0183
Thousand Oaks	California	129339	34.1933	-118.8742
Simi Valley	California	126788	34.2669	-118.7485
Santa Clarita	California	182371	34.4049	-118.5047
Los Angeles	California	3971883	34.0194	-118.4108
Inglewood	California	111666	33.9561	-118.3443
Torrance	California	148475	33.835	-118.3414
